Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,48900,49100,48500,48500,46707.83984,26083749
2020-05-06,49000,49200,48500,49200,47381.97266,18070225
2020-05-07,49200,49300,48700,48800,46996.75,13884411
2020-05-08,49100,49350,48800,48800,46996.75,15319700
2020-05-11,48900,49250,48300,48400,46611.53125,16357743
2020-05-12,48400,48500,47550,47900,46130.01172,23433590
2020-05-13,47250,48550,47200,48550,46755.98828,20223277
2020-05-14,47750,48100,47650,48000,46226.3125,19305974
2020-05-15,48400,48450,47700,47850,46081.85547,18463118
2020-05-18,47950,49100,47600,48800,46996.75,20481981
2020-05-19,50100,50500,49700,50300,48441.32031,25168295
2020-05-20,50000,50200,49800,50000,48152.41016,14896899
2020-05-21,50300,50400,49850,49950,48104.25391,14949266
2020-05-22,49600,49800,48600,48750,46948.59766,19706284
2020-05-25,48750,48900,48450,48850,47044.90234,14337913
2020-05-26,48700,49450,48600,49250,47430.12109,15127490
2020-05-27,48950,50000,48800,49900,48056.10156,19548479
2020-05-28,51100,51200,49900,50400,48537.62891,31309318
2020-05-29,50000,50700,49700,50700,48826.54297,27596961
2020-06-01,50800,51200,50600,51200,49308.0625,16949183
2020-06-02,51000,51500,50800,51400,49500.67188,14247933
2020-06-03,51800,55000,51700,54500,52486.125,49257814
2020-06-04,55800,57000,54600,54600,52582.43359,40220334
2020-06-05,54400,55900,54000,55500,53449.17188,22743629
2020-06-08,56400,56500,54700,54900,52871.34375,25634965
2020-06-09,55800,56500,54400,55500,53449.17188,23998831
2020-06-10,55100,55900,54900,55400,53352.87109,16742493
2020-06-11,54500,55100,53200,54300,52293.51563,33815123
2020-06-12,52100,52800,51500,52300,50367.41797,26976019
2020-06-15,51400,52000,49900,49900,48056.10156,28772921
2020-06-16,51200,52100,50600,52100,50174.80859,21808375
2020-06-17,52100,52900,51300,52200,50271.11328,26672595
2020-06-18,52200,52300,51600,52300,50367.41797,15982926
2020-06-19,52600,52900,51600,52900,50945.24609,18157985
2020-06-22,52000,52600,51800,52000,50078.50391,13801350
2020-06-23,52500,52800,51100,51400,49500.67188,18086152
2020-06-24,51900,53900,51600,52900,50945.24609,24519552
2020-06-25,52100,53000,51900,51900,49982.19922,18541624
2020-06-26,52800,53900,52200,53300,51330.46875,21575360
2020-06-29,52500,53200,52000,52400,50801.125,17776925
2020-06-30,53900,53900,52800,52800,51188.92188,21157172
2020-07-01,53400,53600,52400,52600,50995.02344,16706143
2020-07-02,52100,52900,52100,52900,51285.87109,14142583
2020-07-03,53000,53600,52700,53600,51964.51172,11887868
2020-07-06,54000,55000,53800,55000,53321.79297,19856623
2020-07-07,55800,55900,53400,53400,51770.61328,30760032
2020-07-08,53600,53900,52900,53000,51382.81641,19664652
2020-07-09,53200,53600,52800,52800,51188.92188,17054850
2020-07-10,53100,53200,52300,52700,51091.97266,13714746
2020-07-13,53300,53800,53100,53400,51770.61328,12240188
2020-07-14,53700,53800,53200,53800,52158.40625,14269484
2020-07-15,54400,55000,54300,54700,53030.94531,24051450
2020-07-16,54800,54800,53800,53800,52158.40625,16779127
